"filename","chromosome","start_pos","end_pos","tree"
"Chr1_RagTag.1-200000.min4.phy.treefile","Chr1",1,2e+05,"((Crnoc59478:0.1267163231,(Cratr320360:0.0950430611,((Cstr9577:0.0620308516,Ceery21146:0.0543399764)100:0.0176282670,Ccgol2213:0.0837918415)97:0.0075543061)100:0.0227409686)100:0.0182002637,Cvar27099:0.3113782118,Cuund34614:0.1171245214);"
"Chr1_RagTag.200001-400000.min4.phy.treefile","Chr1",200001,4e+05,"((Crnoc59478:0.1295826793,((Cratr320360:0.0793079439,(Cstr9577:0.0691970022,Ceery21146:0.0663502975)92:0.0080613764)100:0.0081693321,Ccgol2213:0.0854545637)100:0.0192656008)85:0.0055737366,Cvar27099:0.4681441630,Cuund34614:0.0943657064);"
"Chr1_RagTag.400001-600000.min4.phy.treefile","Chr1",400001,6e+05,"((Crnoc59478:0.1343099364,(((Cratr320360:0.0946363267,Cstr9577:0.0793841236)90:0.0110144636,Ceery21146:0.0785261117)90:0.0079627448,Ccgol2213:0.1176653850)100:0.0170998717)82:0.0067191725,Cvar27099:0.3946202866,Cuund34614:0.0851533548);"
"Chr1_RagTag.600001-800000.min4.phy.treefile","Chr1",600001,8e+05,"(Crnoc59478:0.1306454802,Cvar27099:0.4304283849,(Cuund34614:0.0858891287,(((Cratr320360:0.0853400489,Cstr9577:0.0742933707)100:0.0155529741,Ceery21146:0.0813483256)74:0.0076862147,Ccgol2213:0.1077393654)100:0.0139775535)92:0.0113495403);"
"Chr1_RagTag.800001-1000000.min4.phy.treefile","Chr1",800001,1e+06,"((Crnoc59478:0.1394096906,((Cratr320360:0.1073957131,Cstr9577:0.0967114524)99:0.0186068979,(Ceery21146:0.1020331140,Ccgol2213:0.1132423667)84:0.0134771131)99:0.0130220317)43:0.0088587564,Cvar27099:0.2723650330,Cuund34614:0.0852900911);"
"Chr1_RagTag.1000001-1200000.min4.phy.treefile","Chr1",1000001,1200000,"(Crnoc59478:0.1451011587,Cvar27099:0.3653853071,(Cuund34614:0.0970405111,(((Cratr320360:0.0980227330,Cstr9577:0.0859475456)98:0.0168697173,Ccgol2213:0.1051113530)50:0.0075327562,Ceery21146:0.0933834704)100:0.0180189457)68:0.0101890680);"
"Chr1_RagTag.1200001-1400000.min4.phy.treefile","Chr1",1200001,1400000,"(Crnoc59478:0.1396195437,Cvar27099:0.3633547507,(Cuund34614:0.0962541501,(((Cratr320360:0.0865479659,Cstr9577:0.0736488517)100:0.0190715394,Ccgol2213:0.1070999123)44:0.0059545732,Ceery21146:0.0886720172)100:0.0171618635)49:0.0071278298);"
"Chr1_RagTag.1400001-1600000.min4.phy.treefile","Chr1",1400001,1600000,"((Crnoc59478:0.1530954546,Cuund34614:0.0978827271)84:0.0068270359,Cvar27099:0.3569736181,(((Cratr320360:0.0882649321,Cstr9577:0.0782377494)100:0.0173688563,Ceery21146:0.0825784360)79:0.0081202384,Ccgol2213:0.1039174237)100:0.0135228504);"
"Chr1_RagTag.1600001-1800000.min4.phy.treefile","Chr1",1600001,1800000,"((Crnoc59478:0.1552985642,Cuund34614:0.0949352938)75:0.0074265665,Cvar27099:0.3900884127,((Cratr320360:0.0907745736,Cstr9577:0.0801164128)99:0.0175250378,(Ceery21146:0.0826024544,Ccgol2213:0.1051644389)67:0.0095348035)100:0.0147458023);"
"Chr1_RagTag.1800001-2000000.min4.phy.treefile","Chr1",1800001,2e+06,"((Crnoc59478:0.1471202210,Cuund34614:0.1008505094)70:0.0063475516,Cvar27099:0.3780009629,(((Cratr320360:0.0916460079,Cstr9577:0.0765706215)100:0.0174747419,Ceery21146:0.0900113475)85:0.0092914869,Ccgol2213:0.1049020380)100:0.0158465553);"
"Chr1_RagTag.2000001-2200000.min4.phy.treefile","Chr1",2000001,2200000,"((Crnoc59478:0.1351660940,((Cratr320360:0.0924913654,(Cstr9577:0.0820809857,Ceery21146:0.0852103272)51:0.0094232951)100:0.0085334944,Ccgol2213:0.1075230296)100:0.0116834909)97:0.0073802994,Cvar27099:0.3591802458,Cuund34614:0.0956805707);"
"Chr1_RagTag.2200001-2400000.min4.phy.treefile","Chr1",2200001,2400000,"((Crnoc59478:0.1398944399,((Cratr320360:0.0976554123,(Cstr9577:0.0735383774,Ceery21146:0.0805933429)70:0.0110343178)74:0.0072252552,Ccgol2213:0.1052605978)100:0.0183355897)60:0.0060177039,Cvar27099:0.3856930110,Cuund34614:0.0960795114);"
"Chr1_RagTag.2400001-2600000.min4.phy.treefile","Chr1",2400001,2600000,"((Crnoc59478:0.1211895667,((Cratr320360:0.0922928381,(Cstr9577:0.0723774011,Ceery21146:0.0698080375)95:0.0083414112)43:0.0049138824,Ccgol2213:0.0913258940)100:0.0189299701)100:0.0152093162,Cvar27099:0.4234296969,Cuund34614:0.1022175118);"
"Chr1_RagTag.2600001-2800000.min4.phy.treefile","Chr1",2600001,2800000,"((Crnoc59478:0.1290983655,((Cratr320360:0.0929364773,(Cstr9577:0.0597382990,Ceery21146:0.0587167782)100:0.0145199278)61:0.0068883931,Ccgol2213:0.0891677623)100:0.0146577494)100:0.0122581995,Cvar27099:0.4467669151,Cuund34614:0.1047555118);"
