scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,100000,53699,5749,2169,25.875,14.375,0.2857,0.0177,0.012
1,100001,200000,152065,6926,2639,97.375,71.375,0.1541,0.0324,0.0202
1,200001,300000,251080,8559,3042,128.5,70.75,0.2898,0.0772,0.0491
1,300001,400000,347295,8763,3114,125.125,86.125,0.1846,0.0529,0.0304
1,400001,500000,442260,7454,2678,110.25,79.75,0.1605,0.052,0.028
1,500001,600000,556822,6097,2045,92.125,57.125,0.2345,0.0771,0.0414
1,600001,700000,649215,9313,3270,187.75,89,0.3568,0.1235,0.0678
1,700001,800000,748208,7762,2739,138.75,73.25,0.309,0.1102,0.0594
1,800001,900000,845417,4482,1504,60.625,44.125,0.1575,0.0604,0.0324
1,900001,1000000,953379,2863,982,47,25.5,0.2966,0.1172,0.0673
1,1000001,1100000,1057600,5131,1841,99,55.25,0.2836,0.1204,0.066
1,1100001,1200000,1151717,7925,2928,154.375,97.875,0.224,0.0807,0.0472
1,1200001,1300000,1248502,8178,3074,179.75,79.25,0.388,0.1434,0.0817
1,1300001,1400000,1353384,8066,3043,171,111,0.2128,0.0949,0.0488
1,1400001,1500000,1450659,8557,3271,188.375,110.875,0.259,0.1049,0.0594
1,1500001,1600000,1550506,7360,2734,168.25,86.5,0.3209,0.1303,0.0723
1,1600001,1700000,1650147,7222,2808,155.75,100.25,0.2168,0.0896,0.0474
1,1700001,1800000,1751200,7725,2824,156.5,77.5,0.3376,0.1219,0.0693
1,1800001,1900000,1851199,10314,3968,253.625,126.875,0.3331,0.1413,0.0773
1,1900001,2000000,1949050,10473,4000,223.625,117.625,0.3106,0.1176,0.0664
1,2000001,2100000,2047360,8919,3416,192.875,115.875,0.2494,0.0906,0.0526
1,2100001,2200000,2150058,8382,3323,144.375,88.375,0.2406,0.0701,0.0407
1,2200001,2300000,2250814,7812,3101,164.25,100.5,0.2408,0.0874,0.05
1,2300001,2400000,2349397,7728,3203,143.375,111.875,0.1234,0.0433,0.0247
1,2400001,2500000,2450061,7725,3014,92.125,85.625,0.0366,0.0087,0.0053
1,2500001,2600000,2550709,7885,3176,92.375,111.125,-0.0921,-0.0232,-0.0143
1,2600001,2700000,2650394,8257,3299,136.875,130.375,0.0243,0.0074,0.0044
1,2700001,2800000,2752418,7298,2772,95.25,59,0.235,0.0517,0.0329
1,2800001,2900000,2849161,7797,2943,121.625,100.125,0.097,0.0278,0.0178
1,2900001,3000000,2949385,7499,3112,151,122.5,0.1042,0.0369,0.0218
1,3000001,3100000,3048960,7398,3135,164.125,101.875,0.234,0.0828,0.0495
1,3100001,3200000,3149967,6134,2543,101.875,82.125,0.1073,0.035,0.0199
1,3200001,3300000,3249404,7455,3118,142.625,65.125,0.373,0.0959,0.0599
1,3300001,3400000,3348363,8245,3482,180.25,107.5,0.2528,0.0944,0.0523
1,3400001,3500000,3451864,6789,2843,151.125,84.125,0.2848,0.1052,0.0605
1,3500001,3600000,3548942,7022,2877,172.75,79.75,0.3683,0.1244,0.0754
1,3600001,3700000,3649494,7440,2986,171.125,97.125,0.2759,0.115,0.0641
1,3700001,3800000,3752866,8402,3578,190.125,119.125,0.2296,0.0899,0.0509
1,3800001,3900000,3846936,7764,3294,161.375,115.375,0.1662,0.0659,0.0366
1,3900001,4000000,3948221,7467,2905,158.5,76.5,0.3489,0.1334,0.0769
1,4000001,4100000,4050462,7476,3102,125.375,78.375,0.2307,0.0658,0.0403
1,4100001,4200000,4147679,6175,2430,86.25,78.25,0.0486,0.0151,0.0088
1,4200001,4300000,4251431,6759,2555,80.25,60.75,0.1383,0.0321,0.0199
1,4300001,4400000,4350030,6744,2495,58.25,57,0.0108,0.0022,0.0014
1,4400001,4500000,4448093,7204,2738,73,55.5,0.1362,0.0279,0.0179
1,4500001,4600000,4550614,6910,2763,46.5,37.25,0.1104,0.017,0.0106
1,4600001,4700000,4649344,6709,2516,81,29,0.4727,0.092,0.0597
1,4700001,4800000,4747168,6177,2390,40.625,50.125,-0.1047,-0.0205,-0.013
1,4800001,4900000,4849637,6797,2584,56.25,31.75,0.2784,0.0464,0.0289
1,4900001,5000000,4950390,7151,2750,63,45.25,0.164,0.0312,0.0192
1,5000001,5100000,5050034,7531,2959,68.625,57.375,0.0893,0.0171,0.0104
1,5100001,5200000,5149874,7418,2894,87.875,61.375,0.1776,0.042,0.0261
1,5200001,5300000,5249662,7517,3023,147.375,50.375,0.4905,0.1364,0.0846
1,5300001,5400000,5350014,7171,2788,87,88.5,-0.0085,-0.0023,-0.0014
1,5400001,5500000,5448180,7061,2724,111.5,78.5,0.1737,0.0507,0.0296
1,5500001,5600000,5551065,6633,2501,109.125,74.625,0.1878,0.0603,0.0344
1,5600001,5700000,5649644,7676,3111,130.625,74.625,0.2728,0.0781,0.0459
1,5700001,5800000,5752087,6418,2594,87.625,63.125,0.1625,0.0444,0.0257
1,5800001,5900000,5851205,7446,3132,125.75,81.25,0.215,0.0631,0.0381
1,5900001,6000000,5952380,8276,3263,188.25,96,0.3245,0.1177,0.0693
1,6000001,6100000,6051756,7880,3079,150.75,67.5,0.3814,0.1225,0.0717
1,6100001,6200000,6150052,7469,2900,173.25,74.5,0.3986,0.1493,0.0851
1,6200001,6300000,6249224,6760,2657,145.625,65.375,0.3803,0.1241,0.0743
1,6300001,6400000,6349446,7429,2901,89.125,63.375,0.1689,0.0397,0.0235
1,6400001,6500000,6453189,7212,2769,96.625,73.875,0.1334,0.0403,0.0223
1,6500001,6600000,6550065,7712,2863,144.125,82.625,0.2712,0.097,0.0563
1,6600001,6700000,6648863,7124,2677,116.5,83.5,0.165,0.0528,0.0315
1,6700001,6800000,6752827,7244,2864,125.5,68.75,0.2921,0.0972,0.057
1,6800001,6900000,6851453,8035,3028,99.125,93.875,0.0272,0.0076,0.0045
1,6900001,7000000,6949272,6718,2585,115.75,46.25,0.429,0.1118,0.0672
1,7000001,7100000,7048202,7064,2783,113.875,73.125,0.2179,0.0648,0.0385
1,7100001,7200000,7152263,6614,2795,72.875,50.625,0.1802,0.0342,0.0228
1,7200001,7300000,7250054,5955,2431,47.125,47.125,0,0,0
1,7300001,7400000,7351349,6356,2449,61.25,24.75,0.4244,0.0653,0.0418
1,7400001,7500000,7449850,6255,2390,96.875,39.125,0.4246,0.0888,0.0559
1,7500001,7600000,7553613,5713,2104,28.5,9.75,0.4902,0.0416,0.0271
1,7600001,7700000,7649306,5691,2192,51.5,35.25,0.1873,0.0298,0.0187
1,7700001,7800000,7750922,6720,2672,90,27.5,0.5319,0.0948,0.0573
1,7800001,7900000,7851364,6122,2440,78.5,28,0.4742,0.0963,0.0578
1,7900001,8000000,7948037,6337,2378,55.75,28.5,0.3234,0.0593,0.037
1,8000001,8100000,8052999,6328,2290,55.5,29.75,0.3021,0.0466,0.0308
1,8100001,8200000,8150165,6647,2662,60.25,53.75,0.057,0.0135,0.008
1,8200001,8300000,8248619,6355,2557,78,46.75,0.2505,0.0643,0.0361
1,8300001,8400000,8349499,6484,2594,87.625,60.375,0.1841,0.0495,0.0291
1,8400001,8500000,8450589,6882,2750,74,55.5,0.1429,0.0321,0.0191
1,8500001,8600000,8548748,7311,2768,90.5,54.5,0.2483,0.0593,0.0349
1,8600001,8700000,8651184,7089,2836,81.25,50,0.2381,0.0586,0.0349
1,8700001,8800000,8750107,7441,2893,103,62.75,0.2428,0.07,0.0405
1,8800001,8900000,8850545,6610,2766,107.5,57.25,0.305,0.0831,0.051
1,8900001,9000000,8950704,6398,2617,68.125,48.625,0.167,0.0377,0.0214
1,9000001,9100000,9048663,6708,2686,81.5,50.25,0.2372,0.0505,0.0323
1,9100001,9200000,9147520,6472,2586,68,57.75,0.0815,0.0183,0.0109
1,9200001,9300000,9252816,6389,2580,94.125,45.625,0.347,0.0871,0.053
1,9300001,9400000,9349083,7263,3119,114.625,83.375,0.1578,0.045,0.028
1,9400001,9500000,9448776,6703,2842,73.875,54.625,0.1498,0.0335,0.02
1,9500001,9600000,9547306,7107,2972,80.25,42,0.3129,0.0629,0.0397
1,9600001,9700000,9649136,6441,2550,90.625,42.625,0.3602,0.0932,0.0523
1,9700001,9800000,9751165,6663,2567,74.75,46.5,0.233,0.0506,0.0296
1,9800001,9900000,9849659,6216,2498,81.875,41.375,0.3286,0.0701,0.0454
1,9900001,10000000,9948180,6851,2663,81,26.5,0.507,0.1015,0.063
1,10000001,10100000,10048591,6107,2444,68.875,36.625,0.3057,0.0649,0.0393
1,10100001,10200000,10148149,5788,2399,111.375,40.125,0.4703,0.1358,0.0777
1,10200001,10300000,10250870,5349,2185,96.5,33,0.4903,0.1297,0.0799
1,10300001,10400000,10345246,5460,2349,61.25,46.25,0.1395,0.0274,0.016
1,10400001,10500000,10451907,5904,2537,61.25,42.75,0.1779,0.0336,0.0202
1,10500001,10600000,10548795,6030,2505,54.125,70.125,-0.1288,-0.0278,-0.0173
1,10600001,10700000,10653366,5705,2494,61.875,49.125,0.1149,0.0238,0.0145
1,10700001,10800000,10752265,6861,2942,61.75,52.75,0.0786,0.0152,0.009
1,10800001,10900000,10850615,7054,2878,62.875,53.375,0.0817,0.0156,0.0097
1,10900001,11000000,10951254,6817,2914,76.75,43.75,0.2739,0.0545,0.0333
1,11000001,11100000,11049358,6488,2819,101,51.75,0.3224,0.0793,0.048
1,11100001,11200000,11151960,6684,2715,76.625,42.125,0.2905,0.0583,0.0358
1,11200001,11300000,11247448,6335,2706,75.25,59.75,0.1148,0.0259,0.0154
1,11300001,11400000,11350378,7243,2852,78.125,71.625,0.0434,0.0103,0.0062
1,11400001,11500000,11454238,6684,2801,55.625,41.625,0.144,0.0239,0.0148
1,11500001,11600000,11551669,6159,2743,34.25,59.5,-0.2693,-0.0471,-0.0299
1,11600001,11700000,11650229,6675,2595,97,63.75,0.2068,0.0471,0.0306
1,11700001,11800000,11747406,6602,2673,72,69,0.0213,0.005,0.003
1,11800001,11900000,11852344,5989,2412,58.875,67.375,-0.0673,-0.0157,-0.009
1,11900001,12000000,11950928,6567,2709,86.625,66.625,0.1305,0.036,0.0202
1,12000001,12100000,12050619,6837,2726,97.75,68,0.1795,0.0461,0.0288
