scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,100000,53699,5749,2169,72.625,14.375,0.6695,0.085,0.058
1,100001,200000,152065,6926,2639,100.625,71.375,0.1701,0.0331,0.0227
1,200001,300000,251080,8559,3042,101.5,70.75,0.1785,0.0429,0.0268
1,300001,400000,347295,8763,3114,103.875,86.125,0.0934,0.0209,0.0141
1,400001,500000,442260,7454,2678,97.5,79.75,0.1001,0.0239,0.0165
1,500001,600000,556822,6097,2045,80.375,57.125,0.1691,0.0412,0.028
1,600001,700000,649215,9313,3270,113.25,89,0.1199,0.0252,0.0176
1,700001,800000,748208,7762,2739,110,73.25,0.2005,0.049,0.0345
1,800001,900000,845417,4482,1504,56.625,44.125,0.1241,0.0372,0.025
1,900001,1000000,953379,2863,982,34.75,25.5,0.1535,0.0448,0.0304
1,1000001,1100000,1057600,5131,1841,80.25,55.25,0.1845,0.0569,0.0392
1,1100001,1200000,1151717,7925,2928,120.375,97.875,0.1031,0.03,0.0194
1,1200001,1300000,1248502,8178,3074,128,79.25,0.2352,0.0604,0.0415
1,1300001,1400000,1353384,8066,3043,127,111,0.0672,0.0198,0.0136
1,1400001,1500000,1450659,8557,3271,119.625,110.875,0.038,0.0106,0.0071
1,1500001,1600000,1550506,7360,2734,83.75,86.5,-0.0162,-0.0041,-0.0026
1,1600001,1700000,1650147,7222,2808,127.5,100.25,0.1196,0.0365,0.024
1,1700001,1800000,1751200,7725,2824,126,77.5,0.2383,0.0653,0.0443
1,1800001,1900000,1851199,10314,3968,134.125,126.875,0.0278,0.0072,0.0048
1,1900001,2000000,1949050,10473,4000,166.625,117.625,0.1724,0.0487,0.032
1,2000001,2100000,2047360,8919,3416,107.375,115.875,-0.0381,-0.0097,-0.0062
1,2100001,2200000,2150058,8382,3323,120.375,88.375,0.1533,0.0353,0.0238
1,2200001,2300000,2250814,7812,3101,97,100.5,-0.0177,-0.0046,-0.0029
1,2300001,2400000,2349397,7728,3203,129.375,111.875,0.0725,0.0227,0.0139
1,2400001,2500000,2450061,7725,3014,108.125,85.625,0.1161,0.0294,0.0182
1,2500001,2600000,2550709,7885,3176,134.875,111.125,0.0965,0.0274,0.0175
1,2600001,2700000,2650394,8257,3299,119.875,130.375,-0.042,-0.0115,-0.0072
1,2700001,2800000,2752418,7298,2772,108,59,0.2934,0.071,0.0439
1,2800001,2900000,2849161,7797,2943,112.875,100.125,0.0599,0.0173,0.0106
1,2900001,3000000,2949385,7499,3112,116.75,122.5,-0.024,-0.0073,-0.0045
1,3000001,3100000,3048960,7398,3135,103.875,101.875,0.0097,0.0027,0.0017
1,3100001,3200000,3149967,6134,2543,88.125,82.125,0.0352,0.0099,0.0061
1,3200001,3300000,3249404,7455,3118,83.125,65.125,0.1214,0.0231,0.0146
1,3300001,3400000,3348363,8245,3482,153.5,107.5,0.1762,0.0518,0.0338
1,3400001,3500000,3451864,6789,2843,101.625,84.125,0.0942,0.0255,0.0166
