scaffold	start	end	mid	sites	sitesUsed	ABBA	BABA	D	fd	fdM	fdM_zscore	fdM_pvalue	fdM_abs	fdM_pvalue_adj	fdM_sig_005	fdM_sig_001	fdM_pvalue_bonferroni	busco_ids	busco_descriptions	gene_count	busco_ids.500kb	gene_count.500kb
21	300001	400000	354661	4802	2394	444.25	33.25	0.8607	0.5387	0.3818	12.281397153229653	0	0.3818	0	TRUE	TRUE	0			0		0
2	144800001	144900000	144812220	1490	566	70.5	5.75	0.8492	0.5129	0.2627	8.164618201822739	2.220446049250313e-16	0.2627	1.0486056467584604e-12	TRUE	TRUE	2.0972112935169207e-12	16736at8782	Serine-threonine/tyrosine-protein kinase, catalytic domain	1	4658at8782,16736at8782	2
7	1	100000	56343	4342	1766	198.75	8.75	0.9157	0.4306	0.2498	7.718720229755996	1.176836406102666e-14	0.2498	3.705073285213227e-11	TRUE	TRUE	1.111521985563968e-10	9065at8782	Aspartate/glutamate/uridylate kinase	1	9065at8782,27203at8782,21871at8782	3
7	300001	400000	348834	6699	2824	238	20	0.845	0.4233	0.2306	7.055058131796191	1.7252865802674933e-12	0.2306	4.0738329376566185e-9	TRUE	TRUE	1.6295331750626474e-8	21871at8782	PWWP domain	1	9065at8782,27203at8782,21871at8782,48776at8782	4
10	9800001	9900000	9850875	5987	2486	263.625	17.625	0.8747	0.3109	0.2193	6.664465334559431	2.656297404257657e-11	0.2193	5.017745796642714e-8	TRUE	TRUE	2.508872898321357e-7	5690at8782,17961at8782	ubiquitin carboxyl-terminal hydrolase 8 isoform X1,signal peptide peptidase-like 2A	2	46486at8782,32068at8782,51660at8782,32203at8782,13964at8782,10149at8782,23230at8782,12615at8782,32029at8782,5690at8782,17961at8782,53171at8782,42184at8782,20764at8782,50656at8782,26368at8782,14061at8782,35432at8782,22745at8782,23044at8782,6159at8782,3028at8782	22
7	100001	200000	152918	5497	2159	160.875	13.875	0.8412	0.3519	0.2042	6.142522747101459	8.122105210617292e-10	0.2042	1.2785547285713388e-6	TRUE	TRUE	7.671328371428032e-6	27203at8782	7TM GPCR, serpentine receptor class v (Srv)	1	9065at8782,27203at8782,21871at8782,48776at8782	4
2	23700001	23800000	23750478	6613	2814	216.875	28.625	0.7668	0.3271	0.1929	5.751929949864699	8.823036079519397e-9	0.1929	1.1904796538722959e-5	TRUE	TRUE	8.333357577106071e-5	16112at8782,28586at8782	Asparagine synthetase,Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	2	16112at8782,28586at8782,6151at8782,50332at8782,31077at8782,18202at8782,37440at8782	7
2	144600001	144700000	144652121	8882	3001	303	61	0.6648	0.355	0.1885	5.599840719082245	2.1454884757687864e-8	0.1885	2.438278645667936e-5	TRUE	TRUE	2.0264138653636188e-4			0	4658at8782,16736at8782	2
7	200001	300000	249307	6837	2795	191.875	22.625	0.789	0.3519	0.1881	5.586014425374748	2.3233994506099975e-8	0.1881	2.438278645667936e-5	TRUE	TRUE	2.1944507811011427e-4			0	9065at8782,27203at8782,21871at8782,48776at8782	4
15	16700001	16800000	16716069	1231	421	39.5	1.5	0.9268	0.2846	0.1867	5.537622397398513	3.066054143907593e-8	0.1867	2.8958881389207214e-5	TRUE	TRUE	2.8958881389207214e-4	45197at8782,39713at8782,34997at8782	Ubiquitin-conjugating enzyme E2,Ribosome biogenesis protein, C-terminal,N-acetylglucosamine-1-phosphotransferase subunit gamma	3	38130at8782,19454at8782,16512at8782,10443at8782,12500at8782,12920at8782,6323at8782,37944at8782,8102at8782,13993at8782,16799at8782,45197at8782,39713at8782,34997at8782	14
