busco.id	Status	scaffold	start	end	mid	Strand	Score	Length	OrthoDB url	Description
624at8782	Complete	1	30689	76483	53586	+	4255	2780	https://v10-1.orthodb.org/?query=624at8782	LOW QUALITY PROTEIN: golgin subfamily B member 1-like
43344at8782	Complete	1	119457	123713	121585	+	248	115	https://v10-1.orthodb.org/?query=43344at8782	Small GTPase
16453at8782	Complete	1	698399	710846	704622.5	+	816.3	432	https://v10-1.orthodb.org/?query=16453at8782	protein DENND6B
27143at8782	Complete	1	1222302	1256191	1239246.5	+	507	300	https://v10-1.orthodb.org/?query=27143at8782	nuclear respiratory factor 1
49034at8782	Complete	1	1268902	1304587	1286744.5	-	219.6	139	https://v10-1.orthodb.org/?query=49034at8782	ubiquitin-conjugating enzyme E2 H
22103at8782	Complete	1	1307898	1314789	1311343.5	-	644.6	377	https://v10-1.orthodb.org/?query=22103at8782	"Zinc finger, C3HC-like"
25826at8782	Complete	1	1327161	1333788	1330474.5	+	576.4	325	https://v10-1.orthodb.org/?query=25826at8782	Kelch repeat type 1
18297at8782	Complete	1	1344527	1353553	1349040	-	744.8	500	https://v10-1.orthodb.org/?query=18297at8782	Cytochrome B561-related
24991at8782	Complete	1	1359932	1367989	1363960.5	+	734.2	380	https://v10-1.orthodb.org/?query=24991at8782	carboxypeptidase A2
32886at8782	Complete	1	1380050	1388225	1384137.5	-	459	280	https://v10-1.orthodb.org/?query=32886at8782	Rhodanese-like domain
5995at8782	Complete	1	1410673	1443101	1426887	-	1287.3	781	https://v10-1.orthodb.org/?query=5995at8782	"UvrD-like DNA helicase, C-terminal"
30421at8782	Complete	1	1444608	1452080	1448344	+	473.6	304	https://v10-1.orthodb.org/?query=30421at8782	Ankyrin repeat
23603at8782	Complete	1	1448549	1466479	1457514	+	725.6	369	https://v10-1.orthodb.org/?query=23603at8782	GDP dissociation inhibitor
19271at8782	Complete	1	1517266	1558083	1537674.5	-	1045.1	490	https://v10-1.orthodb.org/?query=19271at8782	Pleckstrin homology domain
35005at8782	Complete	1	1712082	1722648	1717365	+	398.6	251	https://v10-1.orthodb.org/?query=35005at8782	UAA transporter
12230at8782	Complete	1	1729189	1773696	1751442.5	-	1007.5	582	https://v10-1.orthodb.org/?query=12230at8782	Leucine rich repeat 4
6024at8782	Complete	1	1784806	2056152	1920479	-	1543.7	771	https://v10-1.orthodb.org/?query=6024at8782	exocyst complex component 4
34154at8782	Complete	1	3028474	3037781	3033127.5	+	437.7	465	https://v10-1.orthodb.org/?query=34154at8782	podocalyxin
8995at8782	Complete	1	3048870	3125766	3087318	-	1387.5	627	https://v10-1.orthodb.org/?query=8995at8782	muskelin
42198at8782	Complete	1	3361779	3364314	3363046.5	-	233.2	154	https://v10-1.orthodb.org/?query=42198at8782	Sushi/SCR/CCP domain
29806at8782	Complete	1	3396651	3408194	3402422.5	+	846	384	https://v10-1.orthodb.org/?query=29806at8782	Splicing factor 45
19170at8782	Complete	1	3437759	3449942	3443850.5	+	907.3	403	https://v10-1.orthodb.org/?query=19170at8782	6-phosphofructo-2-kinase
6401at8782	Complete	1	3918086	3962798	3940442	-	1650.5	817	https://v10-1.orthodb.org/?query=6401at8782	"Inter-alpha-trypsin inhibitor heavy chain, C-terminal"
5957at8782	Complete	1	3968457	3994537	3981497	+	1813.6	837	https://v10-1.orthodb.org/?query=5957at8782	"Inter-alpha-trypsin inhibitor heavy chain, C-terminal"
29329at8782	Complete	1	3997537	4009805	4003671	-	581.8	315	https://v10-1.orthodb.org/?query=29329at8782	DNA/RNA-binding protein KIN17
34881at8782	Complete	1	4010499	4014832	4012665.5	+	468.3	236	https://v10-1.orthodb.org/?query=34881at8782	"ATP synthase, F1 complex, gamma subunit"
24458at8782	Complete	1	4026351	4114737	4070544	+	1347.9	702	https://v10-1.orthodb.org/?query=24458at8782	transcription initiation factor TFIID subunit 3
37978at8782	Complete	1	5736744	5745380	5741062	+	394.9	206	https://v10-1.orthodb.org/?query=37978at8782	Enoyl-CoA hydratase/isomerase
28833at8782	Complete	1	5768449	5781343	5774896	+	616.7	374	https://v10-1.orthodb.org/?query=28833at8782	proline and serine-rich protein 2
4813at8782	Complete	1	5795232	5842659	5818945.5	-	2523.1	1186	https://v10-1.orthodb.org/?query=4813at8782	"MIF4G-like, type 3"
6854at8782	Complete	1	5851510	5867867	5859688.5	+	1599.9	770	https://v10-1.orthodb.org/?query=6854at8782	"Dehydrogenase, E1 component"
42190at8782	Complete	1	5885744	5893957	5889850.5	-	347	186	https://v10-1.orthodb.org/?query=42190at8782	NUDIX hydrolase domain
29139at8782	Complete	1	5896118	5923403	5909760.5	+	475.5	252	https://v10-1.orthodb.org/?query=29139at8782	Cell division cycle protein 123
21294at8782	Complete	1	6202161	6215580	6208870.5	+	715.9	443	https://v10-1.orthodb.org/?query=21294at8782	"NF-kappa-B essential modulator NEMO, CC2-LZ domain"
9996at8782	Complete	1	6221538	6236585	6229061.5	+	1283	729	https://v10-1.orthodb.org/?query=9996at8782	protein MCM10 homolog
24415at8782	Complete	1	6260756	6280098	6270427	-	584.1	307	https://v10-1.orthodb.org/?query=24415at8782	"PurM-like, C-terminal domain"
25252at8782	Complete	1	6296057	6338264	6317160.5	-	745	354	https://v10-1.orthodb.org/?query=25252at8782	BEN domain
32280at8782	Complete	1	6348104	6362236	6355170	+	600.7	298	https://v10-1.orthodb.org/?query=32280at8782	pre-mRNA-splicing factor 18
7288at8782	Complete	1	6368321	6525627	6446974	-	1955.1	915	https://v10-1.orthodb.org/?query=7288at8782	FERM domain-containing protein 4A
